9;428;259;7;0
11;360;268;5;1
11;194;278;5;2
15;150;437;10;3
13;177;463;4;4
19;397;247;7;5
18;162;435;100;6
19;146;429;16;7
21;154;426;17;8
16;166;434;8;9
20;167;431;3;10
22;161;452;6;11
20;137;432;6;12
25;141;420;4;13
23;161;416;6;14
16;457;62;96;15
14;247;508;4;16
17;302;117;16;17
20;304;127;5;18
21;301;110;4;19
16;370;255;5;20
20;425;468;92;21
19;433;471;17;22
18;185;465;4;23
13;297;107;4;24
18;305;100;191;25
18;190;451;7;26
23;57;82;6;27
24;61;75;4;28
22;182;469;8;29
19;292;148;4;30
21;362;274;11;31
24;16;38;8;32
24;217;485;6;33
17;211;485;4;34
22;258;489;108;35
20;263;490;4;36
24;286;482;4;37
21;339;217;6;38
23;34;141;5;39
20;133;342;4;40
22;297;289;4;41
21;9;118;4;42
24;16;67;6;43
22;6;61;6;44
24;6;65;8;45
24;34;76;229;46
21;79;445;4;47
22;88;68;4;48
23;138;246;5;49
24;236;312;4;50
22;243;213;6;51
22;424;55;4;52
24;1;473;90;53
23;13;121;5;54
24;19;94;9;55
24;35;121;5;56
22;43;407;4;57
22;61;97;4;58
22;122;262;4;59
23;148;469;13;60
24;219;500;5;61
22;247;88;4;62
23;273;163;5;63
23;2;363;4;64
24;22;78;6;65
24;34;260;9;66
25;31;256;4;67
23;49;88;6;68
24;55;223;4;69
25;167;471;5;70
23;267;173;4;71
23;396;102;5;72
25;1;427;4;73
24;35;98;4;74
24;64;231;4;75
25;159;300;9;76
25;34;56;4;77
25;106;230;4;78
