14;441;441;4;0
16;477;129;92;1
14;477;129;5;2
24;141;378;4;3
22;143;369;4;4
22;368;280;4;5
19;124;355;150;6
24;131;347;5;7
23;138;359;13;8
21;118;335;8;9
18;201;119;135;10
24;194;112;4;11
18;226;464;4;12
23;240;444;7;13
19;352;251;5;14
18;136;365;6;15
19;270;366;5;16
24;98;296;4;17
22;141;363;4;18
20;159;94;5;19
23;260;446;238;20
21;87;343;4;21
23;107;342;5;22
20;199;150;4;23
20;205;143;4;24
20;246;265;4;25
21;261;375;5;26
20;365;201;4;27
21;81;177;4;28
24;99;319;4;29
22;331;407;5;30
22;134;295;4;31
24;217;211;5;32
22;261;434;4;33
26;272;395;5;34
26;271;402;5;35
26;270;408;4;36
24;90;148;4;37
23;195;196;4;38
23;225;411;4;39
23;277;452;4;40
26;12;332;4;41
