9;277;83;11;0
12;267;103;8;1
10;264;99;4;2
27;100;86;14;3
27;411;89;6;4
27;121;79;4;5
31;363;482;12;6
31;361;479;4;7
32;121;305;17;8
32;126;75;11;9
